dystans_cm,powtorzenie,nr_probki,h_tors
100.0,1,1,204.5
100.0,1,2,215.0
100.0,1,3,213.5
100.0,1,4,217.5
100.0,1,5,214.0
100.0,1,6,213.0
100.0,1,7,213.0
100.0,1,8,213.5
100.0,1,9,212.0
100.0,1,10,210.5
100.0,1,11,211.0
100.0,1,12,214.0
100.0,1,13,213.5
100.0,1,14,214.0
100.0,1,15,213.5
100.0,1,16,213.5
100.0,1,17,216.5
100.0,1,18,217.0
100.0,1,19,217.0
100.0,1,20,218.5
100.0,1,21,218.5
100.0,1,22,221.0
100.0,1,23,220.5
100.0,1,24,219.5
100.0,1,25,220.0
100.0,1,26,218.0
100.0,1,27,217.5
100.0,1,28,218.0
100.0,1,29,219.0
100.0,1,30,218.0
100.0,2,1,222.5
100.0,2,2,219.0
100.0,2,3,220.5
100.0,2,4,218.0
100.0,2,5,218.5
100.0,2,6,218.5
100.0,2,7,221.0
100.0,2,8,218.0
100.0,2,9,219.0
100.0,2,10,217.0
100.0,2,11,218.5
100.0,2,12,218.0
100.0,2,13,217.5
100.0,2,14,218.0
100.0,2,15,216.0
100.0,2,16,216.5
100.0,2,17,218.0
100.0,2,18,216.0
100.0,2,19,214.5
100.0,2,20,211.5
100.0,2,21,212.0
100.0,2,22,215.5
100.0,2,23,217.5
100.0,2,24,217.5
100.0,2,25,218.0
100.0,2,26,217.0
100.0,2,27,218.5
100.0,2,28,218.0
100.0,2,29,219.0
100.0,2,30,218.5
100.0,3,1,225.5
100.0,3,2,219.0
100.0,3,3,224.0
100.0,3,4,224.0
100.0,3,5,220.0
100.0,3,6,215.0
100.0,3,7,215.5
100.0,3,8,213.5
100.0,3,9,208.0
100.0,3,10,209.5
100.0,3,11,213.0
100.0,3,12,208.0
100.0,3,13,210.0
100.0,3,14,207.5
100.0,3,15,213.0
100.0,3,16,212.5
100.0,3,17,210.0
100.0,3,18,211.5
100.0,3,19,211.5
100.0,3,20,211.0
100.0,3,21,212.0
100.0,3,22,209.0
100.0,3,23,212.5
100.0,3,24,209.0
100.0,3,25,208.0
100.0,3,26,211.0
100.0,3,27,208.0
100.0,3,28,211.5
100.0,3,29,210.5
100.0,3,30,214.5
150.0,1,1,155.0
150.0,1,2,149.0
150.0,1,3,147.0
150.0,1,4,143.5
150.0,1,5,142.0
150.0,1,6,149.0
150.0,1,7,147.5
150.0,1,8,144.5
150.0,1,9,144.5
150.0,1,10,143.5
150.0,1,11,143.5
150.0,1,12,145.0
150.0,1,13,146.5
150.0,1,14,145.5
150.0,1,15,144.0
150.0,1,16,145.0
150.0,1,17,145.5
150.0,1,18,144.5
150.0,1,19,144.0
150.0,1,20,145.0
150.0,1,21,147.0
150.0,1,22,147.0
150.0,1,23,145.0
150.0,1,24,144.0
150.0,1,25,143.0
150.0,1,26,144.0
150.0,1,27,144.0
150.0,1,28,143.0
150.0,1,29,143.5
150.0,1,30,144.0
150.0,2,1,142.5
150.0,2,2,141.0
